,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,0.3,0.7,0.6399999999999999,0.5106382978723404,0.5365853658536586,0.4878048780487805,0.5599999999999999,0.8051948051948052,0.8311688311688312,0.8108108108108107,0.8059701492537312,0.7733333333333334,0.5384615384615385,0.7222222222222222,0.6428571428571429,0.5517241379310345,0.45454545454545453,0.4285714285714285,0.26666666666666666,0.5,0.5714285714285715,0.5714285714285713,0.5714285714285715,0,0.28571428571428575,0.6666666666666666,0.0
0.1,0.3,0.8,0.6399999999999999,0.5106382978723404,0.5365853658536586,0.4878048780487805,0.5599999999999999,0.8051948051948052,0.8311688311688312,0.8108108108108107,0.8059701492537312,0.7733333333333334,0.5384615384615385,0.7222222222222222,0.6428571428571429,0.5517241379310345,0.45454545454545453,0.4285714285714285,0.26666666666666666,0.5,0.5714285714285715,0.5714285714285713,0.5714285714285715,0,0.28571428571428575,0.6666666666666666,0.0
0.1,0.3,0.9,0.6399999999999999,0.5106382978723404,0.5365853658536586,0.4878048780487805,0.5599999999999999,0.8051948051948052,0.8311688311688312,0.8108108108108107,0.8059701492537312,0.7733333333333334,0.5384615384615385,0.7222222222222222,0.6428571428571429,0.5517241379310345,0.45454545454545453,0.4285714285714285,0.26666666666666666,0.5,0.5714285714285715,0.5714285714285713,0.5714285714285715,0,0.28571428571428575,0.6666666666666666,0.0
0.1,0.4,0.7,0.68,0.5652173913043478,0.40909090909090906,0.46153846153846156,0.5416666666666667,0.7733333333333334,0.8157894736842105,0.8421052631578947,0.8307692307692307,0.7837837837837838,0.5833333333333334,0.7777777777777778,0.6923076923076924,0.6875000000000001,0.5,0.28571428571428575,0.25,0.5,0.6,0.6956521739130435,0.7499999999999999,0,0.28571428571428575,0.8,0.16666666666666669
0.1,0.4,0.8,0.68,0.5652173913043478,0.40909090909090906,0.46153846153846156,0.5416666666666667,0.7733333333333334,0.8157894736842105,0.8421052631578947,0.8307692307692307,0.7837837837837838,0.5833333333333334,0.7777777777777778,0.6923076923076924,0.6875000000000001,0.5,0.28571428571428575,0.25,0.5,0.6,0.6956521739130435,0.7499999999999999,0,0.28571428571428575,0.8,0.16666666666666669
0.1,0.4,0.9,0.68,0.5652173913043478,0.40909090909090906,0.46153846153846156,0.5416666666666667,0.7733333333333334,0.8157894736842105,0.8421052631578947,0.8307692307692307,0.7837837837837838,0.5833333333333334,0.7777777777777778,0.6923076923076924,0.6875000000000001,0.5,0.28571428571428575,0.25,0.5,0.6,0.6956521739130435,0.7499999999999999,0,0.28571428571428575,0.8,0.16666666666666669
0.1,0.5,0.7,0.5490196078431373,0.5217391304347826,0.46511627906976744,0.3902439024390244,0.5098039215686274,0.7532467532467532,0.8000000000000002,0.8354430379746836,0.8615384615384616,0.7948717948717948,0.5217391304347827,0.7222222222222222,0.5,0.7096774193548387,0.6086956521739131,0.28571428571428575,0.15384615384615383,0.4615384615384615,0.5806451612903226,0.6666666666666666,0.7499999999999999,0,0.28571428571428575,1.0,0.18181818181818182
0.1,0.5,0.8,0.5490196078431373,0.5217391304347826,0.46511627906976744,0.3902439024390244,0.5098039215686274,0.7532467532467532,0.8000000000000002,0.8354430379746836,0.8615384615384616,0.7948717948717948,0.5217391304347827,0.7222222222222222,0.5,0.7096774193548387,0.6086956521739131,0.28571428571428575,0.15384615384615383,0.4615384615384615,0.5806451612903226,0.6666666666666666,0.7499999999999999,0,0.28571428571428575,1.0,0.18181818181818182
0.1,0.5,0.9,0.5490196078431373,0.5217391304347826,0.46511627906976744,0.3902439024390244,0.5098039215686274,0.7532467532467532,0.8000000000000002,0.8354430379746836,0.8615384615384616,0.7948717948717948,0.5217391304347827,0.7222222222222222,0.5,0.7096774193548387,0.6086956521739131,0.28571428571428575,0.15384615384615383,0.4615384615384615,0.5806451612903226,0.6666666666666666,0.7499999999999999,0,0.28571428571428575,1.0,0.18181818181818182
0.2,0.3,0.7,0.6,0.48888888888888893,0.5500000000000002,0.5,0.5882352941176471,0.8051948051948052,0.8311688311688312,0.8266666666666667,0.8059701492537312,0.8,0.5384615384615385,0.742857142857143,0.6428571428571429,0.5,0.45454545454545453,0.5,0.23529411764705882,0.4,0.6666666666666665,0.45454545454545453,0.5714285714285715,0,0.25,0.8,0.15384615384615383
0.2,0.3,0.8,0.6,0.48888888888888893,0.5500000000000002,0.5,0.5882352941176471,0.8051948051948052,0.8311688311688312,0.8266666666666667,0.8059701492537312,0.8,0.5384615384615385,0.742857142857143,0.6428571428571429,0.5,0.45454545454545453,0.5,0.23529411764705882,0.4,0.6666666666666665,0.45454545454545453,0.5714285714285715,0,0.25,0.8,0.15384615384615383
0.2,0.3,0.9,0.6,0.48888888888888893,0.5500000000000002,0.5,0.5882352941176471,0.8051948051948052,0.8311688311688312,0.8266666666666667,0.8059701492537312,0.8,0.5384615384615385,0.742857142857143,0.6428571428571429,0.5,0.45454545454545453,0.5,0.23529411764705882,0.4,0.6666666666666665,0.45454545454545453,0.5714285714285715,0,0.25,0.8,0.15384615384615383
0.2,0.4,0.7,0.6274509803921569,0.5531914893617023,0.45,0.5,0.5416666666666667,0.7631578947368421,0.8157894736842105,0.8266666666666667,0.8307692307692307,0.7777777777777778,0.56,0.7567567567567567,0.6923076923076924,0.6875000000000001,0.5217391304347826,0.47058823529411764,0.23529411764705882,0.5454545454545454,0.6,0.45454545454545453,0.5714285714285715,0,0.28571428571428575,0.8,0.28571428571428575
0.2,0.4,0.8,0.6274509803921569,0.5531914893617023,0.45,0.5,0.5416666666666667,0.7631578947368421,0.8157894736842105,0.8266666666666667,0.8307692307692307,0.7777777777777778,0.56,0.7567567567567567,0.6923076923076924,0.6875000000000001,0.5217391304347826,0.47058823529411764,0.23529411764705882,0.5454545454545454,0.6,0.45454545454545453,0.5714285714285715,0,0.28571428571428575,0.8,0.28571428571428575
0.2,0.4,0.9,0.6274509803921569,0.5531914893617023,0.45,0.5,0.5416666666666667,0.7631578947368421,0.8157894736842105,0.8266666666666667,0.8307692307692307,0.7777777777777778,0.56,0.7567567567567567,0.6923076923076924,0.6875000000000001,0.5217391304347826,0.47058823529411764,0.23529411764705882,0.5454545454545454,0.6,0.45454545454545453,0.5714285714285715,0,0.28571428571428575,0.8,0.28571428571428575
0.2,0.5,0.7,0.6037735849056605,0.5217391304347826,0.5,0.3902439024390244,0.5098039215686274,0.7692307692307694,0.8311688311688312,0.8354430379746836,0.8253968253968254,0.8051948051948051,0.5217391304347827,0.6857142857142857,0.5,0.75,0.6086956521739131,0.5555555555555556,0.25,0.4615384615384615,0.5625000000000001,0.5217391304347826,0.5714285714285715,0,0.5,0.8,0.4
0.2,0.5,0.8,0.6037735849056605,0.5217391304347826,0.5,0.3902439024390244,0.5098039215686274,0.7692307692307694,0.8311688311688312,0.8354430379746836,0.8253968253968254,0.8051948051948051,0.5217391304347827,0.6857142857142857,0.5,0.75,0.6086956521739131,0.5555555555555556,0.25,0.4615384615384615,0.5625000000000001,0.5217391304347826,0.5714285714285715,0,0.5,0.8,0.4
0.2,0.5,0.9,0.6037735849056605,0.5217391304347826,0.5,0.3902439024390244,0.5098039215686274,0.7692307692307694,0.8311688311688312,0.8354430379746836,0.8253968253968254,0.8051948051948051,0.5217391304347827,0.6857142857142857,0.5,0.75,0.6086956521739131,0.5555555555555556,0.25,0.4615384615384615,0.5625000000000001,0.5217391304347826,0.5714285714285715,0,0.5,0.8,0.4
0.3,0.3,0.7,0.6250000000000001,0.4444444444444445,0.46808510638297873,0.4878048780487805,0.5660377358490566,0.7532467532467532,0.8311688311688312,0.8378378378378378,0.8,0.8,0.56,0.742857142857143,0.6666666666666665,0.5384615384615385,0.4,0.3529411764705882,0.26666666666666666,0.4,0.5333333333333333,0.28571428571428564,0.25,0,0.5,0.6666666666666666,0.30769230769230765
0.3,0.3,0.8,0.6250000000000001,0.4444444444444445,0.46808510638297873,0.4878048780487805,0.5660377358490566,0.7532467532467532,0.8311688311688312,0.8378378378378378,0.8,0.8,0.56,0.742857142857143,0.6666666666666665,0.5384615384615385,0.4,0.3529411764705882,0.26666666666666666,0.4,0.5333333333333333,0.28571428571428564,0.25,0,0.5,0.6666666666666666,0.30769230769230765
0.3,0.3,0.9,0.6250000000000001,0.4444444444444445,0.46808510638297873,0.4878048780487805,0.5660377358490566,0.7532467532467532,0.8311688311688312,0.8378378378378378,0.8,0.8,0.56,0.742857142857143,0.6666666666666665,0.5384615384615385,0.4,0.3529411764705882,0.26666666666666666,0.4,0.5333333333333333,0.28571428571428564,0.25,0,0.5,0.6666666666666666,0.30769230769230765
0.3,0.4,0.7,0.5599999999999999,0.5531914893617023,0.4878048780487805,0.47368421052631576,0.5306122448979592,0.7692307692307694,0.8157894736842105,0.8421052631578947,0.8125,0.7671232876712328,0.56,0.742857142857143,0.6153846153846153,0.6666666666666667,0.5217391304347826,0.3529411764705882,0.26666666666666666,0.5,0.6,0.4347826086956522,0.28571428571428575,0,0.5,0.6666666666666666,0.26666666666666666
0.3,0.4,0.8,0.5599999999999999,0.5531914893617023,0.4878048780487805,0.47368421052631576,0.5306122448979592,0.7692307692307694,0.8157894736842105,0.8421052631578947,0.8125,0.7671232876712328,0.56,0.742857142857143,0.6153846153846153,0.6666666666666667,0.5217391304347826,0.3529411764705882,0.26666666666666666,0.5,0.6,0.4347826086956522,0.28571428571428575,0,0.5,0.6666666666666666,0.26666666666666666
0.3,0.4,0.9,0.5599999999999999,0.5531914893617023,0.4878048780487805,0.47368421052631576,0.5306122448979592,0.7692307692307694,0.8157894736842105,0.8421052631578947,0.8125,0.7671232876712328,0.56,0.742857142857143,0.6153846153846153,0.6666666666666667,0.5217391304347826,0.3529411764705882,0.26666666666666666,0.5,0.6,0.4347826086956522,0.28571428571428575,0,0.5,0.6666666666666666,0.26666666666666666
0.3,0.5,0.7,0.5925925925925926,0.5217391304347826,0.5,0.42857142857142855,0.5490196078431373,0.7532467532467532,0.8000000000000002,0.8461538461538461,0.8253968253968254,0.8051948051948051,0.5454545454545455,0.7567567567567567,0.5517241379310345,0.75,0.5833333333333334,0.37499999999999994,0.25,0.42857142857142855,0.6,0.5,0.28571428571428575,0,0.6666666666666665,0.8,0.37499999999999994
0.3,0.5,0.8,0.5925925925925926,0.5217391304347826,0.5,0.42857142857142855,0.5490196078431373,0.7532467532467532,0.8000000000000002,0.8461538461538461,0.8253968253968254,0.8051948051948051,0.5454545454545455,0.7567567567567567,0.5517241379310345,0.75,0.5833333333333334,0.37499999999999994,0.25,0.42857142857142855,0.6,0.5,0.28571428571428575,0,0.6666666666666665,0.8,0.37499999999999994
0.3,0.5,0.9,0.5925925925925926,0.5217391304347826,0.5,0.42857142857142855,0.5490196078431373,0.7532467532467532,0.8000000000000002,0.8461538461538461,0.8253968253968254,0.8051948051948051,0.5454545454545455,0.7567567567567567,0.5517241379310345,0.75,0.5833333333333334,0.37499999999999994,0.25,0.42857142857142855,0.6,0.5,0.28571428571428575,0,0.6666666666666665,0.8,0.37499999999999994
